Trans no,Type,Date,Num,Name,Source Name,Name Address,Name Street1,Name Street2,Name City,Name County,Name Postcode,Name Contact,Name Phone no,Name E-Mail,Memo,Terms,Item,Item Description,Account,Class,VAT Code,Split,Qty,Sales Price,Debit,Credit,Amount,Balance,Account Type,Net Amount,VAT Amount,Gross Amount,Ship To City,Ship To Address 1,Ship To Address 2,Ship To County,Ship Postcode
35,Cheque,18/06/2021,PV202106007,KBANK,KBANK,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,1112102  Bank C/A -Kbank -0612,,,,12600.00,-12600,-12600,Bank,-12600,0,-12600,,,,,
35,Cheque,18/06/2021,PV202106007,KBANK,KBANK,,,,,,,,,,Transfer from SV THB account to CR Account,,,,1112102  Bank C/A -Kbank -0612,,,1112101  Bank S/A -Kbank -9996,,12600,12600.00,,12600,0,Bank,12600,0,12600,,,,,
33,Cheque,29/06/2021,PV202106004,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,100000.00,-100000,-100000,Bank,-100000,0,-100000,,,,,
33,Cheque,29/06/2021,PV202106004,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for JUN 21,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,102885,102885.00,,102885,2885,Expense,102885,0,102885,,,,,
33,Cheque,29/06/2021,PV202106004,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for JUN 21,,,,2122104  Accrued Other,,,1112101  Bank S/A -Kbank -9996,,-2884.62,,2884.62,-2884.62,0.38,Accounts Payable,-2884.62,0,-2884.62,,,,,
33,Cheque,29/06/2021,PV202106004,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Diff from decimal,,,,5191103 Round up/down payment,,,1112101  Bank S/A -Kbank -9996,,-0.38,,0.38,-0.38,0,Expense,-0.38,0,-0.38,,,,,
36,Cheque,30/06/2021,PV202106008,Employee,Employee,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,11400.00,-11400,-11400,Bank,-11400,0,-11400,,,,,
36,Cheque,30/06/2021,PV202106008,Employee,Employee,,,,,,,,,,Salary JUN 21,,,,5111101  Employee salary,,,1112102  Bank C/A -Kbank -0612,,12000,12000.00,,12000,600,Expense,12000,0,12000,,,,,
36,Cheque,30/06/2021,PV202106008,Social security office,Employee,,,,,,,,,,Salary JUN 21,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,-600,,600.00,-600,0,Accounts Payable,-600,0,-600,,,,,
37,Cheque,09/07/2021,PV202107001,Revenue department,Revenue department,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,2122104  Accrued Other,,,,3004.62,-3004.62,-3004.62,Bank,-3004.62,0,-3004.62,,,,,
37,Cheque,09/07/2021,PV202107001,Revenue department,Revenue department,,,,,,,,,,PND3 53 of JUN 21-loan from Tispet,,,,2122104  Accrued Other,,,1112101  Bank S/A -Kbank -9996,,3004.62,3004.62,,3004.62,0,Accounts Payable,3004.62,0,3004.62,,,,,
38,Cheque,09/07/2021,PV202107002,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,600.00,-600,-600,Bank,-600,0,-600,,,,,
38,Cheque,09/07/2021,PV202107002,Social security office,Social security office,,,,,,,,,,SSO JUN21- loan from Tispet,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,600,600.00,,600,0,Accounts Payable,600,0,600,,,,,
40,General Journal,19/07/2021,JV202107004,,,,,,,,,,,,"Transfer from USD to THB acct (USD32,000) on 19/7/2021",,,,1112101  Bank S/A -Kbank -9996,,,3000  Share Capital Account,,,1047040.00,,1047040,1047040,Bank,0,0,0,,,,,
40,General Journal,19/07/2021,JV202107004,,,,,,,,,,,,"Transfer from USD to THB acct (USD32,000) on 19/7/2021",,,,3000  Share Capital Account,,,1112101  Bank S/A -Kbank -9996,,,,1047040.00,-1047040,0,Equity,0,0,0,,,,,
39,Cheque,20/07/2021,PV202107003,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,1430.00,-1430,-1430,Bank,-1430,0,-1430,,,,,
39,Cheque,20/07/2021,PV202107003,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,Temperature device,,,,5131102  Office equipment expen,,,1112101  Bank S/A -Kbank -9996,,1380,1380.00,,1380,-50,Expense,1380,0,1380,,,,,
39,Cheque,20/07/2021,PV202107003,Mr. Nicholas sarasta,Mr. Nicholas sarasta,,,,,,,,,,Bank charge for new book bank,,,,5131111  Bank charge,,,1112101  Bank S/A -Kbank -9996,,50,50.00,,50,0,Expense,50,0,50,,,,,
41,Cheque,29/07/2021,PV202107005,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,300000.00,-300000,-300000,Bank,-300000,0,-300000,,,,,
41,Cheque,29/07/2021,PV202107005,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for JUL - SEP 21,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,308653.85,308653.85,,308653.85,8653.85,Expense,308653.85,0,308653.85,,,,,
41,Cheque,29/07/2021,PV202107005,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for JUL - SEP 21,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-8653.85,,8653.85,-8653.85,0,Accounts Payable,-8653.85,0,-8653.85,,,,,
42,Cheque,29/07/2021,PV202107006,KBANK,KBANK,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,1112102  Bank C/A -Kbank -0612,,,,12000.00,-12000,-12000,Bank,-12000,0,-12000,,,,,
42,Cheque,29/07/2021,PV202107006,KBANK,KBANK,,,,,,,,,,Transfer from SV account to CR Account,,,,1112102  Bank C/A -Kbank -0612,,,1112101  Bank S/A -Kbank -9996,,12000,12000.00,,12000,0,Bank,12000,0,12000,,,,,
43,Cheque,29/07/2021,PV202107003,Employee,Employee,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,11700.00,-11700,-11700,Bank,-11700,0,-11700,,,,,
43,Cheque,29/07/2021,PV202107003,Employee,Employee,,,,,,,,,,Salary JUL 21,,,,5111101  Employee salary,,,1112102  Bank C/A -Kbank -0612,,12000,12000.00,,12000,300,Expense,12000,0,12000,,,,,
43,Cheque,29/07/2021,PV202107003,Employee,Employee,,,,,,,,,,Salary JUL 21,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,300,300.00,,300,600,Expense,300,0,300,,,,,
43,Cheque,29/07/2021,PV202107003,Social security office,Employee,,,,,,,,,,Salary JUL 21,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,-600,,600.00,-600,0,Accounts Payable,-600,0,-600,,,,,
45,Cheque,04/08/2021,PV202108002,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,600.00,-600,-600,Bank,-600,0,-600,,,,,
45,Cheque,04/08/2021,PV202108002,Social security office,Social security office,,,,,,,,,,SSO JUL21- loan from Tispet,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,600,600.00,,600,0,Accounts Payable,600,0,600,,,,,
44,Cheque,12/08/2021,PV202108001,Revenue department,Revenue department,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,8668.85,-8668.85,-8668.85,Bank,-8668.85,0,-8668.85,,,,,
44,Cheque,12/08/2021,PV202108001,Revenue department,Revenue department,,,,,,,,,,PND53 JUL,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,8653.85,8653.85,,8653.85,-15,Accounts Payable,8653.85,0,8653.85,,,,,
44,Cheque,12/08/2021,PV202108001,Revenue department,Revenue department,,,,,,,,,,PND53 JUL,,,,5131111  Bank charge,,,1112101  Bank S/A -Kbank -9996,,15,15.00,,15,0,Expense,15,0,15,,,,,
46,Cheque,31/08/2021,PV202108003,Employee,Employee,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,61625.00,-61625,-61625,Bank,-61625,0,-61625,,,,,
46,Cheque,31/08/2021,PV202108003,Employee,Employee,,,,,,,,,,Salary AUG 21,,,,5111101  Employee salary,,,1112101  Bank S/A -Kbank -9996,,62000,62000.00,,62000,375,Expense,62000,0,62000,,,,,
46,Cheque,31/08/2021,PV202108003,Employee,Employee,,,,,,,,,,Salary AUG 21,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,375,375.00,,375,750,Expense,375,0,375,,,,,
46,Cheque,31/08/2021,PV202108003,Social security office,Employee,,,,,,,,,,Salary AUG 21,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,-750,,750.00,-750,0,Accounts Payable,-750,0,-750,,,,,
47,Cheque,20/09/2021,PV202109001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,300000.00,-300000,-300000,Bank,-300000,0,-300000,,,,,
47,Cheque,20/09/2021,PV202109001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for OCT- DEC 21,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,308653.85,308653.85,,308653.85,8653.85,Expense,308653.85,0,308653.85,,,,,
47,Cheque,20/09/2021,PV202109001,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service fee for OCT- DEC 21,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-8653.85,,8653.85,-8653.85,0,Accounts Payable,-8653.85,0,-8653.85,,,,,
48,Cheque,27/09/2021,PV202109002,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,750.00,-750,-750,Bank,-750,0,-750,,,,,
48,Cheque,27/09/2021,PV202109002,Social security office,Social security office,,,,,,,,,,SSO AUG21- loan from Tispet,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,750,750.00,,750,0,Accounts Payable,750,0,750,,,,,
49,Cheque,30/09/2021,PV202109003,Employee,Employee,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,61625.00,-61625,-61625,Bank,-61625,0,-61625,,,,,
49,Cheque,30/09/2021,PV202109003,Employee,Employee,,,,,,,,,,Salary SEP 21,,,,5111101  Employee salary,,,1112101  Bank S/A -Kbank -9996,,62000,62000.00,,62000,375,Expense,62000,0,62000,,,,,
49,Cheque,30/09/2021,PV202109003,Employee,Employee,,,,,,,,,,Salary SEP 21,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,375,375.00,,375,750,Expense,375,0,375,,,,,
49,Cheque,30/09/2021,PV202109003,Social security office,Employee,,,,,,,,,,Salary SEP 21,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,-750,,750.00,-750,0,Accounts Payable,-750,0,-750,,,,,
50,Cheque,06/10/2021,PV202109004,,,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,5131108  Entertainment expenses,,,,21761.82,-21761.82,-21761.82,Bank,-21761.82,0,-21761.82,,,,,
50,Cheque,06/10/2021,PV202109004,,,,,,,,,,,,SK Cr card,,,,5131108  Entertainment expenses,,,1112101  Bank S/A -Kbank -9996,,21761.82,21761.82,,21761.82,0,Expense,21761.82,0,21761.82,,,,,
51,Cheque,14/10/2021,PV202110001,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,750.00,-750,-750,Bank,-750,0,-750,,,,,
51,Cheque,14/10/2021,PV202110001,Social security office,Social security office,,,,,,,,,,SSO SEP21- loan from Tispet,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,750,750.00,,750,0,Accounts Payable,750,0,750,,,,,
53,Cheque,29/10/2021,PV202110003,Revenue department,Revenue department,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,8668.85,-8668.85,-8668.85,Bank,-8668.85,0,-8668.85,,,,,
53,Cheque,29/10/2021,PV202110003,Revenue department,Revenue department,,,,,,,,,,PND53 SEP21- Loan from TIS ASIA,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,8653.85,8653.85,,8653.85,-15,Accounts Payable,8653.85,0,8653.85,,,,,
53,Cheque,29/10/2021,PV202110003,Revenue department,Revenue department,,,,,,,,,,PND53 SEP21- Loan from TIS ASIA,,,,5131111  Bank charge,,,1112101  Bank S/A -Kbank -9996,,15,15.00,,15,0,Expense,15,0,15,,,,,
52,Cheque,31/10/2021,PV202110002,Employee,Employee,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,61625.00,-61625,-61625,Bank,-61625,0,-61625,,,,,
52,Cheque,31/10/2021,PV202110002,Employee,Employee,,,,,,,,,,Salary OCT 21,,,,5111101  Employee salary,,,1112101  Bank S/A -Kbank -9996,,62000,62000.00,,62000,375,Expense,62000,0,62000,,,,,
52,Cheque,31/10/2021,PV202110002,Employee,Employee,,,,,,,,,,Salary OCT 21,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,375,375.00,,375,750,Expense,375,0,375,,,,,
52,Cheque,31/10/2021,PV202110002,Social security office,Employee,,,,,,,,,,Salary OCT 21,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,-750,,750.00,-750,0,Accounts Payable,-750,0,-750,,,,,
54,Cheque,15/11/2021,PV202111001,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,750.00,-750,-750,Bank,-750,0,-750,,,,,
54,Cheque,15/11/2021,PV202111001,Social security office,Social security office,,,,,,,,,,SSO OCT21- loan from Tispet,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,750,750.00,,750,0,Accounts Payable,750,0,750,,,,,
55,Cheque,30/11/2021,PV202111002,Employee,Employee,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,61625.00,-61625,-61625,Bank,-61625,0,-61625,,,,,
55,Cheque,30/11/2021,PV202111002,Employee,Employee,,,,,,,,,,Salary NOV 21,,,,5111101  Employee salary,,,1112101  Bank S/A -Kbank -9996,,62000,62000.00,,62000,375,Expense,62000,0,62000,,,,,
55,Cheque,30/11/2021,PV202111002,Employee,Employee,,,,,,,,,,Salary NOV 21,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,375,375.00,,375,750,Expense,375,0,375,,,,,
55,Cheque,30/11/2021,PV202111002,Social security office,Employee,,,,,,,,,,Salary NOV 21,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,-750,,750.00,-750,0,Accounts Payable,-750,0,-750,,,,,
56,General Journal,17/12/2021,JV202112001,KBANK,KBANK,,,,,,,,,,Kbank Interest,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,237.74,,237.74,237.74,Bank,0,0,0,,,,,
56,General Journal,17/12/2021,JV202112001,KBANK,KBANK,,,,,,,,,,Kbank Interest,,,,4200001  Interest income,,,1112101  Bank S/A -Kbank -9996,,,,279.70,-279.7,-41.96,Income,0,0,0,,,,,
56,General Journal,17/12/2021,JV202112001,KBANK,KBANK,,,,,,,,,,Kbank Interest,,,,5181105  Undeducted Expesnes,,,1112101  Bank S/A -Kbank -9996,,,41.96,,41.96,0,Expense,0,0,0,,,,,
57,Cheque,29/12/2021,PV202112002,KBANK,KBANK,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,1112102  Bank C/A -Kbank -0612,,,,63000.00,-63000,-63000,Bank,-63000,0,-63000,,,,,
57,Cheque,29/12/2021,PV202112002,KBANK,KBANK,,,,,,,,,,Transfer from SV account to CR Account,,,,1112102  Bank C/A -Kbank -0612,,,1112101  Bank S/A -Kbank -9996,,63000,63000.00,,63000,0,Bank,63000,0,63000,,,,,
58,Cheque,30/12/2021,PV202112003,Employee,Employee,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,61625.00,-61625,-61625,Bank,-61625,0,-61625,,,,,
58,Cheque,30/12/2021,PV202112003,Employee,Employee,,,,,,,,,,Salary DEC 21,,,,5111101  Employee salary,,,1112101  Bank S/A -Kbank -9996,,62000,62000.00,,62000,375,Expense,62000,0,62000,,,,,
58,Cheque,30/12/2021,PV202112003,Employee,Employee,,,,,,,,,,Salary DEC 21,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,375,375.00,,375,750,Expense,375,0,375,,,,,
58,Cheque,30/12/2021,PV202112003,Social security office,Employee,,,,,,,,,,Salary DEC 21,,,,2122102  Accrued Social securit,,,1112101  Bank S/A -Kbank -9996,,-750,,750.00,-750,0,Accounts Payable,-750,0,-750,,,,,
74,General Journal,31/12/2021,JV202112002,Audit,Audit,,,,,,,,,,Audit fee for 2021,,,,2122104  Accrued Other,,,5171101  Audit fee,,,,8000.00,-8000,-8000,Accounts Payable,0,0,0,,,,,
74,General Journal,31/12/2021,JV202112002,Audit,Audit,,,,,,,,,,Audit fee for 2021,,,,5171101  Audit fee,,,2122104  Accrued Other,,,8000.00,,8000,0,Expense,0,0,0,,,,,
75,General Journal,31/12/2021,JV202112003,,,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,1131101 Account Receivable,,,-SPLIT-,,,375.00,,375,375,Other Current Asset,0,0,0,,,,,
75,General Journal,31/12/2021,JV202112003,,,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,5181106  Forbidden expenses,,,1131101 Account Receivable,,,58.00,,58,433,Expense,0,0,0,,,,,
75,General Journal,31/12/2021,JV202112003,,,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,5181105  Undeducted Expesnes,,,1131101 Account Receivable,,,32.59,,32.59,465.59,Expense,0,0,0,,,,,
75,General Journal,31/12/2021,JV202112003,,,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,5191103 Round up/down payment,,,1131101 Account Receivable,,,,1.00,-1,464.59,Expense,0,0,0,,,,,
75,General Journal,31/12/2021,JV202112003,,,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,4200001  Interest income,,,1131101 Account Receivable,,,,32.59,-32.59,432,Income,0,0,0,,,,,
75,General Journal,31/12/2021,JV202112003,,,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,5121101  Contribution to Social,,,1131101 Account Receivable,,,,132.00,-132,300,Expense,0,0,0,,,,,
75,General Journal,31/12/2021,JV202112003,,,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,1111101 Petty cash,,,1131101 Account Receivable,,,,300.00,-300,0,Other Current Asset,0,0,0,,,,,
76,General Journal,31/12/2021,JV202112004,Social security office,Social security office,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,2122102  Accrued Social securit,,,5181106  Forbidden expenses,,,,750.00,-750,-750,Accounts Payable,0,0,0,,,,,
76,General Journal,31/12/2021,JV202112004,Social security office,Social security office,,,,,,,,,,Audit Adjustment for 2021 (AJE-2),,,,5181106  Forbidden expenses,,,2122102  Accrued Social securit,,,750.00,,750,0,Expense,0,0,0,,,,,
81,General Journal,31/12/2021,JV202112005,,,,,,,,,,,,"Adj. Receive a fund transfer from Caryon SA Geneva (USD200,000@29.9867) on 12/1/2021",,,,1112103 Bank S/A-Kbank-4253 USD,,,-SPLIT-,,,5997340.00,,5997340,5997340,Bank,0,0,0,,,,,
81,General Journal,31/12/2021,JV202112005,,,,,,,,,,,,"Adj. Transfer from FCD USD to SV#996 THB acct (USD50,000@29.87) 28/1/2021",,,,1112103 Bank S/A-Kbank-4253 USD,,,1112103 Bank S/A-Kbank-4253 USD,,,,1493500.00,-1493500,4503840,Bank,0,0,0,,,,,
81,General Journal,31/12/2021,JV202112005,,,,,,,,,,,,"Adj. Transfer from FCD USD to SV#996 THB acct (USD32,000@32.6853) 19/7/2021",,,,1112103 Bank S/A-Kbank-4253 USD,,,1112103 Bank S/A-Kbank-4253 USD,,,,1045929.60,-1045929.6,3457910.4,Bank,0,0,0,,,,,
81,General Journal,31/12/2021,JV202112005,,,,,,,,,,,,"Adj. Receive a fund transfer from Caryon SA Geneva (USD200,000-50,000-32,000=118,000) on 12/1/2021",,,,3000  Share Capital Account,,,1112103 Bank S/A-Kbank-4253 USD,,,,3457910.40,-3457910.4,0,Equity,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Receive bank interest on 25/6/21 (USD28.22@31.6254),,,,1112103 Bank S/A-Kbank-4253 USD,,,-SPLIT-,,,892.47,,892.47,892.47,Bank,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Receive bank interest on 25/6/21 (USD28.22@31.6254),,,,4200001  Interest income,,,1112103 Bank S/A-Kbank-4253 USD,,,,892.47,-892.47,0,Income,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Interest Income Tax 21 on 25/6/21 (USD4.23@31.6254),,,,1131103  Withholding income tax,,,1112103 Bank S/A-Kbank-4253 USD,,,133.78,,133.78,133.78,Other Current Asset,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Interest Income Tax 21 on 25/6/21 (USD4.23@31.6254),,,,1112103 Bank S/A-Kbank-4253 USD,,,1112103 Bank S/A-Kbank-4253 USD,,,,133.78,-133.78,0,Bank,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Receive bank interest on 27/12/21 (USD25.11@33.3041),,,,1112103 Bank S/A-Kbank-4253 USD,,,1112103 Bank S/A-Kbank-4253 USD,,,836.27,,836.27,836.27,Bank,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Receive bank interest on 27/12/21 (USD25.11@33.3041),,,,4200001  Interest income,,,1112103 Bank S/A-Kbank-4253 USD,,,,836.27,-836.27,0,Income,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Interest Income Tax 21 on 27/12/21 (USD3.77@33.3041),,,,1131103  Withholding income tax,,,1112103 Bank S/A-Kbank-4253 USD,,,125.56,,125.56,125.56,Other Current Asset,0,0,0,,,,,
82,General Journal,31/12/2021,JV202112006,,,,,,,,,,,,Adj. Interest Income Tax 21 on 27/12/21 (USD3.77@33.3041),,,,1112103 Bank S/A-Kbank-4253 USD,,,1112103 Bank S/A-Kbank-4253 USD,,,,125.56,-125.56,0,Bank,0,0,0,,,,,
83,General Journal,31/12/2021,JV202112007,,,,,,,,,,,,"Adj. Exchange rate as of 31/12/2021 [(USD118,045.33@33.2469) - 3,459,379.80]",,,,1112103 Bank S/A-Kbank-4253 USD,,,7111101 Exchange gain,,,465261.48,,465261.48,465261.48,Bank,0,0,0,,,,,
83,General Journal,31/12/2021,JV202112007,,,,,,,,,,,,"Adj. Exchange rate as of 31/12/2021 [(USD118,045.33@33.2469) - 3,459,379.80]",,,,7111101 Exchange gain,,,1112103 Bank S/A-Kbank-4253 USD,,,,465261.48,-465261.48,0,Expense,0,0,0,,,,,
84,General Journal,31/12/2021,JV202112008,,,,,,,,,,,,Adj. PV202102002 Professional fee Norcola under record in 2021,,,,5131113  Professional Fees,,,3000  Share Capital Account,,,18508.00,,18508,18508,Expense,0,0,0,,,,,
84,General Journal,31/12/2021,JV202112008,,,,,,,,,,,,Adj. PV202102002 Professional fee Norcola under record in 2021,,,,3000  Share Capital Account,,,5131113  Professional Fees,,,,18508.00,-18508,0,Equity,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Feb.21 Ref.JV202102001,,,,1111101 Petty cash,,,-SPLIT-,,,300.00,,300,300,Other Current Asset,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Mar.21 Ref.JV202103001,,,,1111101 Petty cash,,,1111101 Petty cash,,,540.00,,540,840,Other Current Asset,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Apr.21 Ref.PV202103009,,,,1111101 Petty cash,,,1111101 Petty cash,,,,540.00,-540,300,Other Current Asset,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Jun.21 Ref.JV202112003,,,,1111101 Petty cash,,,1111101 Petty cash,,,300.00,,300,600,Other Current Asset,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Feb.21 Ref.JV202102001,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,,300.00,-300,300,Other Current Asset,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Mar.21 Ref.JV202103001,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,,540.00,-540,-240,Other Current Asset,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Apr.21 Ref.PV202103009,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,540.00,,540,300,Other Current Asset,0,0,0,,,,,
93,General Journal,31/12/2021,JV202112009,,,,,,,,,,,,(AJE-4 2021) Petty cash Over record in 2021 - SSO Jun.21 Ref.JV202112003,,,,1161104 RBM - Phutticha,,,1111101 Petty cash,,,,300.00,-300,0,Other Current Asset,0,0,0,,,,,
94,General Journal,31/12/2021,JV202112010,,,,,,,,,,,,(AJE-5 2021) COSA paid back to Phuticha Ref.JV202101004,,,,1161104 RBM - Phutticha,,,-SPLIT-,,,272.00,,272,272,Other Current Asset,0,0,0,,,,,
94,General Journal,31/12/2021,JV202112010,,,,,,,,,,,,(AJE-5 2021) COSA paid back to Phuticha Ref.JV202101004,,,,1161104 RBM - Phutticha,,,1161104 RBM - Phutticha,,,48.00,,48,320,Other Current Asset,0,0,0,,,,,
94,General Journal,31/12/2021,JV202112010,,,,,,,,,,,,(AJE-5 2021) COSA paid back to Phuticha Ref.JV202101004,,,,1161104 RBM - Phutticha,,,1161104 RBM - Phutticha,,,288.00,,288,608,Other Current Asset,0,0,0,,,,,
94,General Journal,31/12/2021,JV202112010,,,,,,,,,,,,(AJE-5 2021) COSA paid back to Phuticha Ref.JV202101004,,,,1161104 RBM - Phutticha,,,1161104 RBM - Phutticha,,,200.00,,200,808,Other Current Asset,0,0,0,,,,,
94,General Journal,31/12/2021,JV202112010,,,,,,,,,,,,(AJE-5 2021) (AJE-2 before restate) Ref.JV202112003,,,,5181106  Forbidden expenses,,,1161104 RBM - Phutticha,,,,58.00,-58,750,Expense,0,0,0,,,,,
94,General Journal,31/12/2021,JV202112010,,,,,,,,,,,,(AJE-5 2021) (AJE-2 before restate) Ref.JV202112004,,,,5181106  Forbidden expenses,,,1161104 RBM - Phutticha,,,,750.00,-750,0,Expense,0,0,0,,,,,
