Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,AMT,Amount,Account Type,Tax Amount
"65,082",General Journal,28/09/2020,CTP EDU52P,Australian Taxation Office,Allianz Australia Insurance Limited CTP,CTP EDU52P,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"65,082",General Journal,28/09/2020,CTP EDU52P,Australian Taxation Office,Allianz Australia Insurance Limited CTP,CTP EDU52P,,GSP,213000 · GST Liability,,GSP,,,59.75,,59.75,59.75,Other Current Liability,
"65,083",General Journal,28/09/2020,Rego EDU52P,Service NSW,Service NSW,Rego EDU52P,,,111004 · Master Card 8539,,,,,,807.54,-807.54,-807.54,Bank,
"65,083",General Journal,28/09/2020,Rego EDU52P,Service NSW,Service NSW,Rego EDU52P,,GSF,612004 · Car Rego,,GSF,,,804,,804,804,Expense,0
"65,083",General Journal,28/09/2020,Rego EDU52P,Service NSW,Service NSW,Rego EDU52P,,GSF,617002 · Credit Card Charge,,GSF,,,3.54,,3.54,3.54,Expense,0
"65,083",General Journal,28/09/2020,Rego EDU52P,Australian Taxation Office,Service NSW,Rego EDU52P,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"65,184",General Journal,30/09/2020,Interest Re,,,Interest Received,,,111000 · Westpac,,,,,8.57,,8.57,8.57,Bank,
"65,184",General Journal,30/09/2020,Interest Re,,,Interest Received,,GSF,810002 · Interest Received,,GSF,,,,8.57,-8.57,-8.57,Other Income,0
"65,184",General Journal,30/09/2020,Interest Re,Australian Taxation Office,,Interest Received,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"65,189",General Journal,30/09/2020,LoantoScott,,,Pay Karras Partners Lawyers as per Scott requested for his family matter,,,111000 · Westpac,,,,,,"10,712.90",-10712.9,"-10,712.90",Bank,
"65,189",General Journal,30/09/2020,LoantoScott,,,Pay Karras Partners Lawyers as per Scott requested for his family matter,,,111401 · Loan to Scott,,,,,"10,712.90",,10712.9,"10,712.90",Other Asset,
"65,388",General Journal,30/09/2020,Sep20 Close,,,,,,111600 · Inventory Asset,,,,,,"87,075.91",-87075.91,"-87,075.91",Other Current Asset,
"65,388",General Journal,30/09/2020,Sep20 Close,,,Homelift,,,511000 · Cost of Goods Sold,Homelift,,,,"13,688.33",,13688.33,"13,688.33",Cost of Goods Sold,
"65,388",General Journal,30/09/2020,Sep20 Close,,,New Crane,,,511000 · Cost of Goods Sold,New Crane,,,,"45,167.76",,45167.76,"45,167.76",Cost of Goods Sold,
"65,388",General Journal,30/09/2020,Sep20 Close,,,Newscastle,,,511000 · Cost of Goods Sold,Newcastle,,,,"1,874.05",,1874.05,"1,874.05",Cost of Goods Sold,
"65,388",General Journal,30/09/2020,Sep20 Close,,,Sydney Other,,,511000 · Cost of Goods Sold,Sydney:Sydney Other,,,,"23,087.02",,23087.02,"23,087.02",Cost of Goods Sold,
"65,388",General Journal,30/09/2020,Sep20 Close,,,Sydney Water,,,511000 · Cost of Goods Sold,Sydney:Sydney Water,,,,"3,258.75",,3258.75,"3,258.75",Cost of Goods Sold,
"66,012",General Journal,01/10/2020,MVEIW24Q,,,"To record the loan for MV EIW24Q, Loan started on 22/07/2020. Get the loan amortization sechedul...",,,111003 · Transitional  Account,,,,,"32,990.00",,32990,"32,990.00",Bank,
"66,012",General Journal,01/10/2020,MVEIW24Q,,,"To record the loan for MV EIW24Q, Loan started on 22/07/2020. Get the loan amortization sechedul...",,,111903 · Borrowing Expenses,,,,,"1,425.00",,1425,"1,425.00",Other Asset,
"66,012",General Journal,01/10/2020,MVEIW24Q,,,"To record the loan for MV EIW24Q, Loan started on 22/07/2020. Get the loan amortization sechedul...",,,218000 · Hire Purchasing Liability,,,,,,"34,415.00",-34415,"-34,415.00",Other Current Liability,
"66,012",General Journal,01/10/2020,MVEIW24Q,,,"To record the loan for MV EIW24Q, Loan started on 22/07/2020. Get the loan amortization sechedul...",,,218001 · Unexpired Interest Liability,,,,,"7,345.15",,7345.15,"7,345.15",Other Current Liability,
"66,012",General Journal,01/10/2020,MVEIW24Q,,,"To record the loan for MV EIW24Q, Loan started on 22/07/2020. Get the loan amortization sechedul...",,,218000 · Hire Purchasing Liability,,,,,,"7,345.15",-7345.15,"-7,345.15",Other Current Liability,
"66,014",General Journal,01/10/2020,MV YKB76G,,,"To record the loan for MV YKB76G, the loan started from 21/09/2020. Recevied the loan amortizati...",,,111003 · Transitional  Account,,,,,"32,000.00",,32000,"32,000.00",Bank,
"66,014",General Journal,01/10/2020,MV YKB76G,,,"To record the loan for MV YKB76G, the loan started from 21/09/2020. Recevied the loan amortizati...",,,111903 · Borrowing Expenses,,,,,"1,425.00",,1425,"1,425.00",Other Asset,
"66,014",General Journal,01/10/2020,MV YKB76G,,,"To record the loan for MV YKB76G, the loan started from 21/09/2020. Recevied the loan amortizati...",,,218000 · Hire Purchasing Liability,,,,,,"33,425.00",-33425,"-33,425.00",Other Current Liability,
"66,014",General Journal,01/10/2020,MV YKB76G,,,"To record the loan for MV YKB76G, the loan started from 21/09/2020. Recevied the loan amortizati...",,,218001 · Unexpired Interest Liability,,,,,"7,133.78",,7133.78,"7,133.78",Other Current Liability,
"66,014",General Journal,01/10/2020,MV YKB76G,,,"To record the loan for MV YKB76G, the loan started from 21/09/2020. Recevied the loan amortizati...",,,218000 · Hire Purchasing Liability,,,,,,"7,133.78",-7133.78,"-7,133.78",Other Current Liability,
"66,025",General Journal,01/10/2020,Homelift,,,INV#20741 20748,,,111000 · Westpac,,,,,"1,457.50",,1457.5,"1,457.50",Bank,
"66,025",General Journal,01/10/2020,Homelift,,,INV#20741 20748,,,111007 · Interco with New Millennium,,,,,,"1,457.50",-1457.5,"-1,457.50",Bank,
"66,227",General Journal,06/10/2020,MV Donation,,,"Donated MV ""BX73QC"" to Kids Under Cover",,,111500 · Motor Vehicle,,,,,,"6,500.00",-6500,"-6,500.00",Fixed Asset,
"66,227",General Journal,06/10/2020,MV Donation,,,"Donated MV ""BX73QC"" to Kids Under Cover",,FRE,611004 · Donation,,FRE,,,"6,500.00",,6500,"6,500.00",Expense,0
"66,227",General Journal,06/10/2020,MV Donation,Australian Taxation Office,,"Donated MV ""BX73QC"" to Kids Under Cover",,FRE,213000 · GST Liability,,FRE,,,0,,0,0,Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,,,,111000 · Westpac,,,,,,"28,589.81",-28589.81,"-28,589.81",Bank,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Dean Keeve,,,212011 · Australian Super Payable,,,,,"1,731.61",,1731.61,"1,731.61",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Elegio Pasaporte,,,212011 · Australian Super Payable,,,,,"1,663.55",,1663.55,"1,663.55",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Huynh Luu Truong,,,212011 · Australian Super Payable,,,,,"1,543.75",,1543.75,"1,543.75",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Marc Palencia,,,212011 · Australian Super Payable,,,,,"1,683.05",,1683.05,"1,683.05",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Rahul Shelake,,,212011 · Australian Super Payable,,,,,"1,617.31",,1617.31,"1,617.31",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Rajesh Rangaiah,,,212011 · Australian Super Payable,,,,,"1,607.70",,1607.7,"1,607.70",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Scott A Valentine,,,212011 · Australian Super Payable,,,,,"1,434.28",,1434.28,"1,434.28",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,James Simpson,,,212012 · CBus Super,,,,,"1,877.20",,1877.2,"1,877.20",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Stephen Gumbleton,,,212014 · Colonial First State  Super,,,,,"2,018.03",,2018.03,"2,018.03",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Stephen Hardi,,,212014 · Colonial First State  Super,,,,,"1,736.41",,1736.41,"1,736.41",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Vishnar Ling,,,212014 · Colonial First State  Super,,,,,"1,924.13",,1924.13,"1,924.13",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Bronislaw Ryzak,,,212018 · AMP Flexible lifetime,,,,,"2,158.78",,2158.78,"2,158.78",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Alexander Avouris,,,212019 · Rest Industry Super,,,,,"1,595.65",,1595.65,"1,595.65",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Tomas Dlesk,,,212035 · ANZ Smart Choice Super,,,,,"2,157.21",,2157.21,"2,157.21",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Yee Lai Hon,,,212039 · Hostplus Super,,,,,681.34,,681.34,681.34,Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Steven Wilson,,,212039 · Hostplus Super,,,,,"1,971.06",,1971.06,"1,971.06",Other Current Liability,
"65,528",General Journal,13/10/2020,Sep20 Super,,,Sione Tiauli,,,212040 · BT Super,,,,,"1,188.75",,1188.75,"1,188.75",Other Current Liability,
"66,024",General Journal,14/10/2020,Homelift,,,INV#20760 20756 20759,,,111000 · Westpac,,,,,792,,792,792,Bank,
"66,024",General Journal,14/10/2020,Homelift,,,INV#20760 20756 20759,,,111007 · Interco with New Millennium,,,,,,792,-792,-792,Bank,
"65,525",General Journal,15/10/2020,LaontoScott,,,Loan to Scott - payment for the amended personal tax return FY2019,,,111000 · Westpac,,,,,,121,-121,-121,Bank,
"65,525",General Journal,15/10/2020,LaontoScott,,,Loan to Scott - payment for the amended personal tax return FY2019,,,111401 · Loan to Scott,,,,,121,,121,121,Other Asset,
"66,023",General Journal,15/10/2020,Homelift,,,INV#20755,,,111000 · Westpac,,,,,264,,264,264,Bank,
"66,023",General Journal,15/10/2020,Homelift,,,INV#20755,,,111007 · Interco with New Millennium,,,,,,264,-264,-264,Bank,
"65,507",General Journal,16/10/2020,Rego DJS62E,Service NSW,Service NSW,Rego DJS62E,,,111004 · Master Card 8539,,,,,,807.54,-807.54,-807.54,Bank,
"65,507",General Journal,16/10/2020,Rego DJS62E,Service NSW,Service NSW,Rego DJS62E,,GSF,612004 · Car Rego,,GSF,,,804,,804,804,Expense,0
"65,507",General Journal,16/10/2020,Rego DJS62E,Service NSW,Service NSW,Rego DJS62E,,GSF,617002 · Credit Card Charge,,GSF,,,3.54,,3.54,3.54,Expense,0
"65,507",General Journal,16/10/2020,Rego DJS62E,Australian Taxation Office,Service NSW,Rego DJS62E,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"66,022",General Journal,16/10/2020,Homelift,,,INV#20753,,,111000 · Westpac,,,,,264,,264,264,Bank,
"66,022",General Journal,16/10/2020,Homelift,,,INV#20753,,,111007 · Interco with New Millennium,,,,,,264,-264,-264,Bank,
"65,509",General Journal,19/10/2020,Dean,Revenue NSW,Revenue NSW,3222637660,,,111004 · Master Card 8539,,,,,,116.46,-116.46,-116.46,Bank,
"65,509",General Journal,19/10/2020,Dean,Revenue NSW,Revenue NSW,3222637660,,GSF,611012 · Penalty,,GSF,,,116,,116,116,Expense,0
"65,509",General Journal,19/10/2020,Dean,Revenue NSW,Revenue NSW,3222637660,,GSF,617002 · Credit Card Charge,,GSF,,,0.46,,0.46,0.46,Expense,0
"65,509",General Journal,19/10/2020,Dean,Australian Taxation Office,Revenue NSW,3222637660,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"66,021",General Journal,19/10/2020,Homelift,,, INV#20752 and INV#20761,,,111000 · Westpac,,,,,528,,528,528,Bank,
"66,021",General Journal,19/10/2020,Homelift,,, INV#20752 and INV#20761,,,111007 · Interco with New Millennium,,,,,,528,-528,-528,Bank,
"66,020",General Journal,20/10/2020,Homelift,,,INV#20754,,,111000 · Westpac,,,,,264,,264,264,Bank,
"66,020",General Journal,20/10/2020,Homelift,,,INV#20754,,,111007 · Interco with New Millennium,,,,,,264,-264,-264,Bank,
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,511000 · Cost of Goods Sold,Sydney:Sydney Other,GSP,,,48.55,,48.55,48.55,Cost of Goods Sold,4.85
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,511000 · Cost of Goods Sold,New Crane,GSP,,,"1,827.64",,1827.64,"1,827.64",Cost of Goods Sold,182.76
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,513000 · Tools,,GSP,,,73.18,,73.18,73.18,Cost of Goods Sold,7.32
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSF,611012 · Penalty,,GSF,,,465.86,,465.86,465.86,Expense,0
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,611013 · Phone Fee,,GSP,,,287.62,,287.62,287.62,Expense,28.76
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,611020 · Rubbish Removal,,GSP,,,255.27,,255.27,255.27,Expense,25.53
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,611024 · IT Mantenance Exp,,GSP,,,36.35,,36.35,36.35,Expense,3.64
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,611034 · Subscription,,GSP,,,849,,849,849,Expense,84.9
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,612002 · Car Insurance,Newcastle,GSP,,,185.32,,185.32,185.32,Expense,18.53
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,612002 · Car Insurance,Homelift,GSP,,,101.66,,101.66,101.66,Expense,10.17
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,612002 · Car Insurance,Sydney:Sydney Other,GSP,,,"3,318.49",,3318.49,"3,318.49",Expense,331.85
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,612003 · Petrol,,GSP,,,516.71,,516.71,516.71,Expense,51.67
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSF,612004 · Car Rego,,GSF,,,364.6,,364.6,364.6,Expense,0
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,612006 · Parking,,GSP,,,11.82,,11.82,11.82,Expense,1.18
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSP,617002 · Credit Card Charge,,GSP,,,9.38,,9.38,9.38,Expense,0.94
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,,111401 · Loan to Scott,,,,,"2,883.07",,2883.07,"2,883.07",Other Asset,
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC Job#26561,,,111007 · Interco with New Millennium,,,,,"2,130.29",,2130.29,"2,130.29",Bank,
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,,111004 · Master Card 8539,,,,,,"14,405.23",-14405.23,"-14,405.23",Bank,
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,GSF,611024 · IT Mantenance Exp,,GSF,,,231.27,,231.27,231.27,Expense,0
"66,093",General Journal,20/10/2020,Oct 2020 CC,,,Oct 2020 CC,,,111007 · Interco with New Millennium,,,,,57.05,,57.05,57.05,Bank,
"66,093",General Journal,20/10/2020,Oct 2020 CC,Australian Taxation Office,,Oct 2020 CC,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"66,093",General Journal,20/10/2020,Oct 2020 CC,Australian Taxation Office,,Oct 2020 CC,,GSP,213000 · GST Liability,,GSP,,,752.1,,752.1,752.1,Other Current Liability,
"65,991",General Journal,22/10/2020,LoantoScott,,,Pay Cutcher & Neale Forensic Accounting  as the instruction from Scott,,,111000 · Westpac,,,,,,"11,345.02",-11345.02,"-11,345.02",Bank,
"65,991",General Journal,22/10/2020,LoantoScott,,,Pay Cutcher & Neale Forensic Accounting  as the instruction from Scott,,,111401 · Loan to Scott,,,,,"11,345.02",,11345.02,"11,345.02",Other Asset,
"65,551",General Journal,23/10/2020,Loan toDean,,,"Loan to Dean, approved by Scott",,,111000 · Westpac,,,,,,"1,200.00",-1200,"-1,200.00",Bank,
"65,551",General Journal,23/10/2020,Loan toDean,,,"Loan to Dean, approved by Scott",,,111416 · Loan to Dean Keeve,,,,,"1,200.00",,1200,"1,200.00",Other Asset,
"66,019",General Journal,23/10/2020,Homelift,,,INV#20767,,,111000 · Westpac,,,,,550,,550,550,Bank,
"66,019",General Journal,23/10/2020,Homelift,,,INV#20767,,,111007 · Interco with New Millennium,,,,,,550,-550,-550,Bank,
"65,990",General Journal,28/10/2020,LoantoScott,,,Pay Karras Partners Lawyers as the instruction from Scott,,,111000 · Westpac,,,,,,"48,489.31",-48489.31,"-48,489.31",Bank,
"65,990",General Journal,28/10/2020,LoantoScott,,,Pay Karras Partners Lawyers as the instruction from Scott,,,111401 · Loan to Scott,,,,,"48,489.31",,48489.31,"48,489.31",Other Asset,
"66,018",General Journal,28/10/2020,Homelift,,,INV#20762,,,111000 · Westpac,,,,,528,,528,528,Bank,
"66,018",General Journal,28/10/2020,Homelift,,,INV#20762,,,111007 · Interco with New Millennium,,,,,,528,-528,-528,Bank,
"65,989",General Journal,29/10/2020,Sep20 BAS,,,Sep 2020 BAS,,,111000 · Westpac,,,,,,"85,687.00",-85687,"-85,687.00",Bank,
"65,989",General Journal,29/10/2020,Sep20 BAS,,,Sep 2020 BAS,,,219000 · Paybable to ATO,,,,,"85,687.00",,85687,"85,687.00",Bank,
"65,970",General Journal,30/10/2020,Interest Re,,,Interest Received,,,111000 · Westpac,,,,,11.49,,11.49,11.49,Bank,
"65,970",General Journal,30/10/2020,Interest Re,,,Interest Received,,GSF,810002 · Interest Received,,GSF,,,,11.49,-11.49,-11.49,Other Income,0
"65,970",General Journal,30/10/2020,Interest Re,Australian Taxation Office,,Interest Received,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"66,017",General Journal,30/10/2020,Homelift,,,INV#20768 & INV#20764,,,111000 · Westpac,,,,,"1,276.00",,1276,"1,276.00",Bank,
"66,017",General Journal,30/10/2020,Homelift,,,INV#20768 & INV#20764,,,111007 · Interco with New Millennium,,,,,,"1,276.00",-1276,"-1,276.00",Bank,
"66,116",General Journal,31/10/2020,Oct20 Close,,,,,,111600 · Inventory Asset,,,,,,"39,836.63",-39836.63,"-39,836.63",Other Current Asset,
"66,116",General Journal,31/10/2020,Oct20 Close,,,Homelift,,,511000 · Cost of Goods Sold,Homelift,,,,"3,337.84",,3337.84,"3,337.84",Cost of Goods Sold,
"66,116",General Journal,31/10/2020,Oct20 Close,,,New Crane,,,511000 · Cost of Goods Sold,New Crane,,,,"54,953.02",,54953.02,"54,953.02",Cost of Goods Sold,
"66,116",General Journal,31/10/2020,Oct20 Close,,,Newcastle,,,511000 · Cost of Goods Sold,Newcastle,,,,,"2,364.81",-2364.81,"-2,364.81",Cost of Goods Sold,
"66,116",General Journal,31/10/2020,Oct20 Close,,,Sydney Other,,,511000 · Cost of Goods Sold,Sydney:Sydney Other,,,,"14,653.50",,14653.5,"14,653.50",Cost of Goods Sold,
"66,116",General Journal,31/10/2020,Oct20 Close,,,Sydney Water,,,511000 · Cost of Goods Sold,Sydney:Sydney Water,,,,,"30,742.92",-30742.92,"-30,742.92",Cost of Goods Sold,
"66,041",General Journal,06/11/2020,DeanRepay,,,DeanRepay,,,111000 · Westpac,,,,,600,,600,600,Bank,
"66,041",General Journal,06/11/2020,DeanRepay,,,DeanRepay,,,111416 · Loan to Dean Keeve,,,,,,600,-600,-600,Other Asset,
"66,596",General Journal,06/11/2020,Homelift,,,INV#20774,,,111000 · Westpac,,,,,"1,078.00",,1078,"1,078.00",Bank,
"66,596",General Journal,06/11/2020,Homelift,,,INV#20774,,,111007 · Interco with New Millennium,,,,,,"1,078.00",-1078,"-1,078.00",Bank,
"66,228",General Journal,11/11/2020,MV Donation,,,"Donated MV ""BW96LO"" to Kids Under Cover",,,111500 · Motor Vehicle,,,,,,"8,300.00",-8300,"-8,300.00",Fixed Asset,
"66,228",General Journal,11/11/2020,MV Donation,,,"Donated MV ""BW96LO"" to Kids Under Cover",,,611004 · Donation,,,,,"8,300.00",,8300,"8,300.00",Expense,
"66,447",General Journal,11/11/2020,Arrium Divi,,,Arrium Dividend,,,111000 · Westpac,,,,,269.38,,269.38,269.38,Bank,
"66,447",General Journal,11/11/2020,Arrium Divi,,,Arrium Dividend,,,810001 · Other Income -Dividend & Other,,,,,,269.38,-269.38,-269.38,Other Income,
"66,597",General Journal,11/11/2020,Homelift,,,INV#20770/20773,,,111000 · Westpac,,,,,"1,001.00",,1001,"1,001.00",Bank,
"66,597",General Journal,11/11/2020,Homelift,,,INV#20770/20773,,,111007 · Interco with New Millennium,,,,,,"1,001.00",-1001,"-1,001.00",Bank,
"66,042",General Journal,12/11/2020,DeanRepay,,,DeanRepay,,,111000 · Westpac,,,,,300,,300,300,Bank,
"66,042",General Journal,12/11/2020,DeanRepay,,,DeanRepay,,,111416 · Loan to Dean Keeve,,,,,,300,-300,-300,Other Asset,
"66,598",General Journal,13/11/2020,Homelift,,,INV#20771/INV20772,,,111000 · Westpac,,,,,770,,770,770,Bank,
"66,598",General Journal,13/11/2020,Homelift,,,INV#20771/INV20772,,,111007 · Interco with New Millennium,,,,,,770,-770,-770,Bank,
"66,599",General Journal,16/11/2020,Homelift,,,INV#20776,,,111000 · Westpac,,,,,480,,480,480,Bank,
"66,599",General Journal,16/11/2020,Homelift,,,INV#20776,,,111007 · Interco with New Millennium,,,,,,480,-480,-480,Bank,
"66,043",General Journal,19/11/2020,DeanRepay,,,DeanRepay,,,111000 · Westpac,,,,,300,,300,300,Bank,
"66,043",General Journal,19/11/2020,DeanRepay,,,DeanRepay,,,111416 · Loan to Dean Keeve,,,,,,300,-300,-300,Other Asset,
"66,439",General Journal,19/11/2020,IAS OCT2020,,,IAS OCT 2020,,,111000 · Westpac,,,,,,"34,899.00",-34899,"-34,899.00",Bank,
"66,439",General Journal,19/11/2020,IAS OCT2020,,,IAS OCT 2020,,,219000 · Paybable to ATO,,,,,"34,899.00",,34899,"34,899.00",Bank,
"66,600",General Journal,20/11/2020,Homelift,,,Job#20769,,,111000 · Westpac,,,,,660,,660,660,Bank,
"66,600",General Journal,20/11/2020,Homelift,,,Job#20769,,,111007 · Interco with New Millennium,,,,,,660,-660,-660,Bank,
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,511000 · Cost of Goods Sold,New Crane,GSP,,,208.14,,208.14,208.14,Cost of Goods Sold,20.81
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,511000 · Cost of Goods Sold,Sydney:Sydney Other,GSP,,,186.25,,186.25,186.25,Cost of Goods Sold,18.62
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,511000 · Cost of Goods Sold,Sydney:Sydney Water,GSP,,,127.25,,127.25,127.25,Cost of Goods Sold,12.72
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,,611012 · Penalty,,,,,443.77,,443.77,443.77,Expense,
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,611013 · Phone Fee,,GSP,,,45.45,,45.45,45.45,Expense,4.54
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,611020 · Rubbish Removal,,GSP,,,276.55,,276.55,276.55,Expense,27.65
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSF,611024 · IT Mantenance Exp,,GSF,,,230.82,,230.82,230.82,Expense,0
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,611034 · Subscription,,GSP,,,930,,930,930,Expense,93
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,612001 · Auto Repairs or Servicing,,GSP,,,"6,773.50",,6773.5,"6,773.50",Expense,677.35
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,612002 · Car Insurance,Newcastle,GSP,,,185.32,,185.32,185.32,Expense,18.53
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,612002 · Car Insurance,Homelift,GSP,,,101.66,,101.66,101.66,Expense,10.17
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,612002 · Car Insurance,Sydney:Sydney Other,GSP,,,"4,177.20",,4177.2,"4,177.20",Expense,417.72
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,612003 · Petrol,,GSP,,,456.98,,456.98,456.98,Expense,45.7
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSF,612004 · Car Rego,,GSF,,,"2,174.53",,2174.53,"2,174.53",Expense,0
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,612006 · Parking,,GSP,,,16.36,,16.36,16.36,Expense,1.64
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,GSP,617002 · Credit Card Charge,,GSP,,,49.46,,49.46,49.46,Expense,4.95
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,,111401 · Loan to Scott,,,,,"6,185.75",,6185.75,"6,185.75",Other Asset,
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,,111007 · Interco with New Millennium,,,,,55.36,,55.36,55.36,Bank,
"66,833",General Journal,20/11/2020,NOV 2020 CC,,,NOV 2020 CC,,,111004 · Master Card 8539,,,,,,"23,977.75",-23977.75,"-23,977.75",Bank,
"66,833",General Journal,20/11/2020,NOV 2020 CC,Australian Taxation Office,,NOV 2020 CC,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"66,833",General Journal,20/11/2020,NOV 2020 CC,Australian Taxation Office,,NOV 2020 CC,,GSP,213000 · GST Liability,,GSP,,,"1,353.40",,1353.4,"1,353.40",Other Current Liability,
"66,519",General Journal,25/11/2020,,Allianz Australia Insurance Limited CTP,Allianz Australia Insurance Limited CTP,Cheque 6018381,,GSF,612002 · Car Insurance,,GSF,,,,701.97,-701.97,-701.97,Expense,0
"66,519",General Journal,25/11/2020,,Allianz Australia Insurance Limited CTP,Allianz Australia Insurance Limited CTP,Cheque 6018381,,,111000 · Westpac,,,,,701.97,,701.97,701.97,Bank,
"66,519",General Journal,25/11/2020,,Australian Taxation Office,Allianz Australia Insurance Limited CTP,Cheque 6018381,,GSF,213000 · GST Liability,,GSF,,,0,,0,0,Other Current Liability,
"66,520",General Journal,25/11/2020,Homelift,,,Homelift INV20757,,,111000 · Westpac,,,,,264,,264,264,Bank,
"66,520",General Journal,25/11/2020,Homelift,,,Homelift INV20757,,,111007 · Interco with New Millennium,,,,,,264,-264,-264,Bank,
"66,584",General Journal,30/11/2020,Refund,,,Refund the overpayment to Cutcher & Neale for Scott's family matter,,,111000 · Westpac,,,,,"11,345.02",,11345.02,"11,345.02",Bank,
"66,584",General Journal,30/11/2020,Refund,,,Refund the overpayment to Cutcher & Neale for Scott's family matter,,,111401 · Loan to Scott,,,,,,"11,345.02",-11345.02,"-11,345.02",Other Asset,
