Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,Amount,Account Type,Tax Amount
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225599/1    FHE610    37.36t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.36,10,,373.6,-373.6,Income,-37.36
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225605/1    4SNOOP    42.24t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,42.24,10,,422.4,-422.4,Income,-42.24
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225606/1    3SNOOP    38.30t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.3,10,,383,-383,Income,-38.3
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225616/1    XN15KO    37.06t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.06,10,,370.6,-370.6,Income,-37.06
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225872/1    XN15KO    36.60t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.6,10,,366,-366,Income,-36.6
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225876/1    XO25FD    37.26t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.26,10,,372.6,-372.6,Income,-37.26
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225621/1    FHE620    37.80t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.8,10,,378,-378,Income,-37.8
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225877/1    3SNOOP    38.60t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.6,10,,386,-386,Income,-38.6
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225622/1    FHE480    37.24t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.24,10,,372.4,-372.4,Income,-37.24
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225879/1    FHE620    37.92t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.92,10,,379.2,-379.2,Income,-37.92
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225628/1    FHE222    31.50t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.5,10,,315,-315,Income,-31.5
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225884/1    FHE600    35.92t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,35.92,10,,359.2,-359.2,Income,-35.92
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225629/1    FHE610    37.40t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.4,10,,374,-374,Income,-37.4
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225633/1    XO25FD    36.64t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.64,10,,366.4,-366.4,Income,-36.64
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225889/1    FHE610    37.40t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.4,10,,374,-374,Income,-37.4
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225634/1    3SNOOP    39.10t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,39.1,10,,391,-391,Income,-39.1
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225635/1    XN15KO    36.94t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.94,10,,369.4,-369.4,Income,-36.94
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225892/1    FHE480    37.10t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.1,10,,371,-371,Income,-37.1
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225893/1    XN15KO    37.02t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.02,10,,370.2,-370.2,Income,-37.02
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225904/1    XO25FD    36.84t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.84,10,,368.4,-368.4,Income,-36.84
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225907/1    3SNOOP    38.56t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.56,10,,385.6,-385.6,Income,-38.56
"10,285",Sales Receipt,20/12/2023,W37772,0403 DARACON,0403 DARACON,WI225908/1    FHE620    37.60t    Fill Sand Will,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.6,10,,376,-376,Income,-37.6
"10,285",Sales Receipt,20/12/2023,W37772,Australian Taxation Office,0403 DARACON,10% GST,31/12/2023,GST,25500 · Tax Payable,,,10,,,"3,647.90","-3,647.90",Other Current Liability,
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,,19/01/2024,,1001 · CBA - Cheque Account,,,,,"9,628.74",,"9,628.74",Bank,
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI225999/1    MAD90H    50.82t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,50.82,10,,508.2,-508.2,Income,-50.82
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226000/1    XN04YY    38.28t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.28,10,,382.8,-382.8,Income,-38.28
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226005/1    3SNOOP    38.34t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.34,10,,383.4,-383.4,Income,-38.34
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226009/1    CP90QH    37.36t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.36,10,,373.6,-373.6,Income,-37.36
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226010/1    MAD90H    50.32t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,50.32,10,,503.2,-503.2,Income,-50.32
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226015/1    XN04YY    36.72t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.72,10,,367.2,-367.2,Income,-36.72
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226022/1    XN39KW    35.50t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,35.5,10,,355,-355,Income,-35.5
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226025/1    3SNOOP    38.50t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.5,10,,385,-385,Income,-38.5
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226031/1    CP90QH    36.74t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.74,10,,367.4,-367.4,Income,-36.74
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226037/1    404DJW    31.84t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.84,10,,318.4,-318.4,Income,-31.84
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226040/1    XN04YY    36.76t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.76,10,,367.6,-367.6,Income,-36.76
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226042/1    4SNOOP    41.62t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,41.62,10,,416.2,-416.2,Income,-41.62
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226044/1    XN39KW    34.82t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,34.82,10,,348.2,-348.2,Income,-34.82
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226045/1    3SNOOP    38.56t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.56,10,,385.6,-385.6,Income,-38.56
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226048/1    CP90QH    37.60t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,37.6,10,,376,-376,Income,-37.6
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226050/1    404DJW    31.80t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,31.8,10,,318,-318,Income,-31.8
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226051/1    XN04YY    36.70t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.7,10,,367,-367,Income,-36.7
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226055/1    4SNOOP    42.18t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,42.18,10,,421.8,-421.8,Income,-42.18
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226056/1    3SNOOP    38.16t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.16,10,,381.6,-381.6,Income,-38.16
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226061/1    XN39KW    35.16t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,35.16,10,,351.6,-351.6,Income,-35.16
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226063/1    XN04YY    34.26t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,34.26,10,,342.6,-342.6,Income,-34.26
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226066/1    3SNOOP    38.34t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,38.34,10,,383.4,-383.4,Income,-38.34
"10,286",Sales Receipt,20/12/2023,W37773,4000 MACKAS SAND,4000 MACKAS SAND,WI226069/1    XN39KW    34.96t    Ex MS Fill Sand - Grafil,19/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,34.96,10,,349.6,-349.6,Income,-34.96
"10,286",Sales Receipt,20/12/2023,W37773,Australian Taxation Office,4000 MACKAS SAND,10% GST,31/12/2023,GST,25500 · Tax Payable,,,10,,,875.34,-875.34,Other Current Liability,
"10,304",Sales Receipt,31/12/2023,M37800,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/01/2024,,1001 · CBA - Cheque Account,,,,,"761,435.07",,"761,435.07",Bank,
"10,304",Sales Receipt,31/12/2023,M37800,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,"Dec 2023 - Quantity 69,221.37",30/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"69,221.37",10,,"692,213.70","-692,213.70",Income,"-69,221.37"
"10,304",Sales Receipt,31/12/2023,M37800,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,31/12/2023,GST,25500 · Tax Payable,,,,10.00%,,"69,221.37","-69,221.37",Other Current Liability,
"10,290",Sales Receipt,07/01/2024,W37797,0300 Cash Sales - COD,0300 Cash Sales - COD,,07/01/2024,,1001 · CBA - Cheque Account,,,,,723.49,,723.49,Bank,
"10,290",Sales Receipt,07/01/2024,W37797,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,WI226294/1    CP90QH    36.54t    Fill Sand Will - Delivered by Robert to Campvale,07/01/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,36.54,18,,657.72,-657.72,Income,-65.77
"10,290",Sales Receipt,07/01/2024,W37797,Australian Taxation Office,0300 Cash Sales - COD,10% GST,31/01/2024,GST,25500 · Tax Payable,,,10,,,65.77,-65.77,Other Current Liability,
"10,313",Sales Receipt,31/01/2024,M37801,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,01/03/2024,,1001 · CBA - Cheque Account,,,,,"639,555.40",,"639,555.40",Bank,
"10,313",Sales Receipt,31/01/2024,M37801,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,"Jan 2024 - 58,141.40t Sand",01/03/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"58,141.40",10,,"581,414.00","-581,414.00",Income,"-58,141.40"
"10,313",Sales Receipt,31/01/2024,M37801,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,31/01/2024,GST,25500 · Tax Payable,,,,10.00%,,"58,141.40","-58,141.40",Other Current Liability,
"10,325",Sales Receipt,17/02/2024,W37987,0300 Cash Sales - COD,0300 Cash Sales - COD,,17/02/2024,,1001 · CBA - Cheque Account,,,,,"2,159.74",,"2,159.74",Bank,
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170442/1    CP90QH    14.32t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,14.32,10,,143.2,-143.2,Income,-14.32
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170443/1    CP90QH    13.40t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.4,10,,134,-134,Income,-13.4
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170445/1    CP90QH    13.42t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.42,10,,134.2,-134.2,Income,-13.42
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170447/1    CP90QH    13.96t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.96,10,,139.6,-139.6,Income,-13.96
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170449/1    CP90QH    13.24t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.24,10,,132.4,-132.4,Income,-13.24
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170450/1    CP90QH    12.24t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.24,10,,122.4,-122.4,Income,-12.24
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170452/1    CP90QH    13.08t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.08,10,,130.8,-130.8,Income,-13.08
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170454/1    XN04YY    12.30t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.3,10,,123,-123,Income,-12.3
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170455/1    CP90QH    13.04t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.04,10,,130.4,-130.4,Income,-13.04
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170457/1    XN04YY    11.44t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,11.44,10,,114.4,-114.4,Income,-11.44
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170460/1    XN04YY    12.44t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.44,10,,124.4,-124.4,Income,-12.44
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170469/1    CB55FE    14.72t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,14.72,10,,147.2,-147.2,Income,-14.72
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170471/1    CB55FE    12.88t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.88,10,,128.8,-128.8,Income,-12.88
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170472/1    XN04YY    13.68t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.68,10,,136.8,-136.8,Income,-13.68
"10,325",Sales Receipt,17/02/2024,W37987,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170473/1    CB55FE    12.18t    Fill Sand S/Ash,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.18,10,,121.8,-121.8,Income,-12.18
"10,325",Sales Receipt,17/02/2024,W37987,Australian Taxation Office,0300 Cash Sales - COD,10% GST,29/02/2024,GST,25500 · Tax Payable,,,10,,,196.34,-196.34,Other Current Liability,
"10,326",Sales Receipt,17/02/2024,W37986,0300 Cash Sales - COD,0300 Cash Sales - COD,,17/02/2024,,1001 · CBA - Cheque Account,,,,,"2,295.92",,"2,295.92",Bank,
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170441/1    CB55FE    11.78t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,11.78,10,,117.8,-117.8,Income,-11.78
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170444/1    CB55FE    12.38t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.38,10,,123.8,-123.8,Income,-12.38
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170446/1    CB55FE    13.46t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.46,10,,134.6,-134.6,Income,-13.46
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170448/1    CB55FE    13.72t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.72,10,,137.2,-137.2,Income,-13.72
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170451/1    CB55FE    13.70t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.7,10,,137,-137,Income,-13.7
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170453/1    CB55XY    12.96t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.96,10,,129.6,-129.6,Income,-12.96
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170456/1    CB55FE    12.84t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.84,10,,128.4,-128.4,Income,-12.84
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170458/1    CB55FE    12.08t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.08,10,,120.8,-120.8,Income,-12.08
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170459/1    CB55FE    13.38t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.38,10,,133.8,-133.8,Income,-13.38
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170462/1    CB55FE    12.82t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.82,10,,128.2,-128.2,Income,-12.82
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170463/1    CB55FE    13.40t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.4,10,,134,-134,Income,-13.4
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170464/1    CB55FE    12.62t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.62,10,,126.2,-126.2,Income,-12.62
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170465/1    CB55FE    13.50t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.5,10,,135,-135,Income,-13.5
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170466/1    CB55FE    12.68t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,12.68,10,,126.8,-126.8,Income,-12.68
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170467/1    CB55FE    13.28t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,13.28,10,,132.8,-132.8,Income,-13.28
"10,326",Sales Receipt,17/02/2024,W37986,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,SI170468/1    CB55FE    14.12t    Fill Sand Will,17/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,14.12,10,,141.2,-141.2,Income,-14.12
"10,326",Sales Receipt,17/02/2024,W37986,Australian Taxation Office,0300 Cash Sales - COD,10% GST,29/02/2024,GST,25500 · Tax Payable,,,10,,,208.72,-208.72,Other Current Liability,
"10,328",Sales Receipt,29/02/2024,W38029,0300 Cash Sales - COD,0300 Cash Sales - COD,,29/02/2024,,1001 · CBA - Cheque Account,,,,,243.76,,243.76,Bank,
"10,328",Sales Receipt,29/02/2024,W38029,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,WI229076/1    X050IJ    11.16t    Fill Sand - Collected Ex Williamtown,29/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,11.16,10,,111.6,-111.6,Income,-11.16
"10,328",Sales Receipt,29/02/2024,W38029,1302 MACKA'S SAND & SOIL,0300 Cash Sales - COD,WI229086/1    X050IJ    11.00t    Fill Sand - Collected Ex Williamtown,29/02/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,11,10,,110,-110,Income,-11
"10,328",Sales Receipt,29/02/2024,W38029,Australian Taxation Office,0300 Cash Sales - COD,10% GST,29/02/2024,GST,25500 · Tax Payable,,,10,,,22.16,-22.16,Other Current Liability,
"10,329",Sales Receipt,29/02/2024,W38028,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/03/2024,,1001 · CBA - Cheque Account,,,,,309.1,,309.1,Bank,
"10,329",Sales Receipt,29/02/2024,W38028,1302 MACKA'S SAND & SOIL,1302 MACKA'S SAND & SOIL SUPPLIES,WI229609/1    XN69NV    28.10t    Fill Sand Will,30/03/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,28.1,10,,281,-281,Income,-28.1
"10,329",Sales Receipt,29/02/2024,W38028,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,29/02/2024,GST,25500 · Tax Payable,,,10,,,28.1,-28.1,Other Current Liability,
"10,377",Sales Receipt,29/02/2024,M38031,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,,30/03/2024,,1001 · CBA - Cheque Account,,,,,"821,746.86",,"821,746.86",Bank,
"10,377",Sales Receipt,29/02/2024,M38031,1302 MACKA'S SAND & SOIL SUPPLIES,1302 MACKA'S SAND & SOIL SUPPLIES,"Feb 2024 - Total Quantity 74,704.26",30/03/2024,OUT OF PIT:ex pit/f,411000 · Sand Sales,,GST,"74,704.26",10,,"747,042.60","-747,042.60",Income,"-74,704.26"
"10,377",Sales Receipt,29/02/2024,M38031,Australian Taxation Office,1302 MACKA'S SAND & SOIL SUPPLIES,10% GST,29/02/2024,GST,25500 · Tax Payable,,,,10.00%,,"74,704.26","-74,704.26",Other Current Liability,
"10,375",Sales Receipt,10/03/2024,W38030,0300 Cash Sales - COD,0300 Cash Sales - COD,,10/03/2024,,1001 · CBA - Cheque Account,,,,,"3,614.99",,"3,614.99",Bank,
